Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
137.24885,3822.630376,6.194,-3.22,2,1,14.5,11.8,1.2288135593220337,71.49309
140.849056,3822.651685,6.236,-3.12,2,1,14.5,11.8,1.2288135593220337,71.49309
698.699964,3822.705949,5.524,3.35,6,1,13.99,11.2,1.249107142857143,165.1504460000001
698.599958,3822.705949,5.524,3.35,6,1,13.99,11.2,1.249107142857143,165.1504460000001
138.398916,3822.920807,5.67,-11.25,2,1,14.5,11.8,1.2288135593220337,71.49309
763.900693,3823.191047,19.392,-3.27,6,1,13.99,11.2,1.249107142857143,165.1504460000001
137.60287,3823.319563,5.702,-7.4,2,1,14.5,11.8,1.2288135593220337,71.49309
138.598927,3823.358515,5.648,-7.09,2,1,14.5,11.8,1.2288135593220337,71.49309
700.200049,3823.367682,6.092,3.31,6,1,13.99,11.2,1.249107142857143,165.1504460000001
700.300055,3823.367682,6.092,3.31,6,1,13.99,11.2,1.249107142857143,165.1504460000001
764.300715,3823.371995,19.568,-9.61,6,1,13.99,11.2,1.249107142857143,165.1504460000001
110.750335,3823.385165,4.842,-22.75,7,1,14.33,11.3,1.2681415929203539,2245.699446
138.498922,3823.52198,5.972,-4.8,2,1,14.5,11.8,1.2288135593220337,71.49309
137.348856,3823.586424,6.092,-3.74,2,1,14.5,11.8,1.2288135593220337,71.49309
137.498865,3823.586424,6.092,-3.74,2,1,14.5,11.8,1.2288135593220337,71.49309
137.698876,3823.59327,5.932,-5.78,2,1,14.5,11.8,1.2288135593220337,71.49309
764.100704,3823.59832,19.456,-4.01,6,1,13.99,11.2,1.249107142857143,165.1504460000001
140.949062,3823.725134,6.136,-3.39,2,1,14.5,11.8,1.2288135593220337,71.49309
138.198905,3823.774644,5.82,-10.78,2,1,14.5,11.8,1.2288135593220337,71.49309
764.20071,3824.042441,19.552,-6.27,6,1,13.99,11.2,1.249107142857143,165.1504460000001
766.700853,3824.225369,17.3,10.36,6,1,13.99,11.2,1.249107142857143,165.1504460000001
137.798882,3824.258121,5.974,-4.61,2,1,14.5,11.8,1.2288135593220337,71.49309
1001.150263,3824.278443,3.986,65.39,7,1,14.33,11.3,1.2681415929203539,2245.699446
137.898888,3824.308184,6.054,-6.45,2,1,14.5,11.8,1.2288135593220337,71.49309
764.500727,3824.324146,19.652,-8.78,6,1,13.99,11.2,1.249107142857143,165.1504460000001
138.29891,3824.472997,5.904,-4.51,2,1,14.5,11.8,1.2288135593220337,71.49309
766.400836,3824.50774,17.742,-14.67,6,1,13.99,11.2,1.249107142857143,165.1504460000001
764.400722,3824.717847,19.53,-3.58,6,1,13.99,11.2,1.249107142857143,165.1504460000001
137.998893,3824.722303,5.966,-5.36,2,1,14.5,11.8,1.2288135593220337,71.49309
764.600733,3824.878704,19.654,-5.94,6,1,13.99,11.2,1.249107142857143,165.1504460000001
776.350405,3824.963183,7.752,23.59,7,1,14.33,11.3,1.2681415929203539,2245.699446
783.60082,3825.110325,19.506,-7.94,6,1,13.99,11.2,1.249107142857143,165.1504460000001
138.098899,3825.169898,6.082,-5.26,2,1,14.5,11.8,1.2288135593220337,71.49309
783.500814,3825.223806,19.158,3.76,6,1,13.99,11.2,1.249107142857143,165.1504460000001
790.400208,3825.434719,3.66,50.15,6,1,13.99,11.2,1.249107142857143,165.1504460000001
141.049067,3825.57726,5.988,-1.08,2,1,14.5,11.8,1.2288135593220337,71.49309
701.500124,3825.703673,6.932,14.15,6,1,13.99,11.2,1.249107142857143,165.1504460000001
783.700825,3825.715188,19.388,-5.79,6,1,13.99,11.2,1.249107142857143,165.1504460000001
700.900089,3825.840028,2.41,-30.88,6,1,13.99,11.2,1.249107142857143,165.1504460000001
764.800744,3826.224127,19.664,-8.35,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.700796,3826.304401,19.698,-10.45,6,1,13.99,11.2,1.249107142857143,165.1504460000001
698.799969,3826.397464,5.716,3.28,6,1,13.99,11.2,1.249107142857143,165.1504460000001
700.400061,3826.407534,6.116,1.4,6,1,13.99,11.2,1.249107142857143,165.1504460000001
766.000813,3826.408383,19.758,-8.79,6,1,13.99,11.2,1.249107142857143,165.1504460000001
764.700738,3826.474502,19.574,-2.84,6,1,13.99,11.2,1.249107142857143,165.1504460000001
766.200824,3826.606287,19.748,-8.94,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.500784,3826.647422,19.774,-8.89,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.100761,3826.699167,19.642,-8.36,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.200767,3826.699167,19.642,-8.36,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.800801,3826.765561,19.742,-6.22,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.900807,3826.805637,19.728,-7.48,6,1,13.99,11.2,1.249107142857143,165.1504460000001
769.500013,3826.832,8.822,44.42,6,1,13.99,11.2,1.249107142857143,165.1504460000001
766.30083,3826.873545,19.346,-6.8,6,1,13.99,11.2,1.249107142857143,165.1504460000001
764.90075,3826.896134,19.646,-5.59,6,1,13.99,11.2,1.249107142857143,165.1504460000001
784.000843,3826.898441,19.542,-12.84,6,1,13.99,11.2,1.249107142857143,165.1504460000001
783.900837,3826.898441,19.542,-12.84,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.000756,3826.952911,19.746,-7.43,6,1,13.99,11.2,1.249107142857143,165.1504460000001
766.100819,3827.053631,19.73,-5.67,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.400778,3827.078081,19.762,-8.99,6,1,13.99,11.2,1.249107142857143,165.1504460000001
141.150074,3827.085625,6.664,-2.1,2,1,14.5,11.8,1.2288135593220337,71.49309
765.60079,3827.255877,19.676,-5.78,6,1,13.99,11.2,1.249107142857143,165.1504460000001
765.300773,3827.542173,19.666,-5.08,6,1,13.99,11.2,1.249107142857143,165.1504460000001
786.201968,3827.964341,17.564,-9.03,6,1,13.99,11.2,1.249107142857143,165.1504460000001
141.249079,3828.133445,6.24,-3.47,2,1,14.5,11.8,1.2288135593220337,71.49309
698.899975,3828.159495,5.226,-2.35,6,1,13.99,11.2,1.249107142857143,165.1504460000001
785.999957,3828.358366,18.2,-20.03,6,1,13.99,11.2,1.249107142857143,165.1504460000001
111.450375,3828.409498,5.552,35.92,7,1,14.33,11.3,1.2681415929203539,2245.699446
786.099963,3828.441897,18.79,-7.35,6,1,13.99,11.2,1.249107142857143,165.1504460000001
141.349085,3828.484416,6.334,-5.55,2,1,14.5,11.8,1.2288135593220337,71.49309
