Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
1716.850198,1447.314898,27.078,-5.22,9,0,12.8,0.0,inf,251.94340899999997
1759.150618,1447.314921,27.058,-5.24,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1859.402352,1447.314967,27.068,-5.22,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1881.950642,1447.314974,27.056,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1885.861865,1447.314976,27.078,-5.16,9,0,12.8,0.0,inf,251.94340899999997
1962.650257,1447.315002,27.072,-5.23,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2156.500345,1447.315512,27.07,-5.23,9,0,12.8,0.0,inf,251.94340899999997
2167.002945,1447.315518,27.036,-5.27,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2210.10041,1447.315545,27.074,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2327.40012,1447.315615,27.062,-5.23,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2389.950697,1447.315642,27.082,-5.2,9,0,12.8,0.0,inf,251.94340899999997
2456.550507,1447.315668,27.074,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2521.600227,1447.315702,27.09,-5.23,9,0,12.8,0.0,inf,251.94340899999997
